nest,approach,touch,deep.entry,multiple.bees,guard,fight,observation_seconds,start_time,day,month,year,nest_type,pair
1,6,10,7,0,0,0,600,952,3,6,2019,Unguarded,1
2,3,5,10,5,10,0,600,1007,3,6,2019,Guarded,1
3,20,23,4,1,0,0,600,1030,3,6,2019,Unguarded,2
4,7,10,5,2,2,0,600,1045,3,6,2019,Guarded,2
5,23,21,0,0,2,4,600,900,4,6,2019,Guarded,3
6,3,20,12,1,0,0,600,942,4,6,2019,Unguarded,3
7,3,10,4,1,17,9,600,1002,4,6,2019,Guarded,4
8,18,18,5,0,0,0,600,1020,4,6,2019,Unguarded,4
9,10,22,5,0,0,0,600,914,5,6,2019,Unguarded,5
10,12,25,4,0,12,4,600,948,5,6,2019,Guarded,5
